username,num_repositories,total_pulls
adarshrk568,6,102
adithyans636,8,134
agil2004,6,91
aish2913,6,89
amalpromass,9,108
darkstorm22,10,97
anaswarasureshmk,7,128
lol0lol,8,115
cbenu4cys22009,7,98
aadhithyasiv,11,174
akshit404,2,22
dockerthingy123,8,102
sai150404,5,82
prem011,6,84
rishi3161,7,112
ams7,9,94
vyshalichitla,10,98
charank1904,7,92
hansicachinni,9,206
firestrom,8,144
dharshisakthi,11,220
ghamsini,3,57
vettrivelganappathi,9,122
gunateet,8,156
hemupc,10,165
harshith1201,11,86
jphemanthkumaar,7,109
joserohit264,14,359
joshua2004,7,104
jeeshitha,5,65
krishna12345678,9,113
22034,7,89
kaushik7251,6,102
logesh0107,10,102
lalitha14,7,131
tejas610,7,111
sanjumarri7,11,137
midhru,5,61
mukundkumarappan,9,168
meera042,8,90
namitha0710,9,134
navarang,5,60
varshith78,12,227
parthivkumarnikku,8,113
pillimetlavamsi,9,129
roopak28,10,95
shanxm,10,128
narenadithya,7,85
sruthi2004,6,89
rahulshankarv,8,114
rathneshr,7,98
ramrajs,8,121
thanujjj,7,72
mohanvamsi06,8,374
chakri07,10,108
parzimes,7,127
sharvesh27,6,88
shravankrishnan,8,146
siddhuvajjula,8,120
kishansai,8,149
saisupraj,6,85
parvathis066,10,163
amitank67,8,171
mukesher4,9,159
anurag018,6,68
nandanamahesh,10,129
shajianagh,8,128
srilakshmi2277,7,106
vichushan,11,119
vijaynishanth07,9,121
vishalyeskay,11,178
chandan22076,9,136
